"","time","X_RIGHT_INDEX","Y_RIGHT_INDEX","Z_RIGHT_INDEX","env","speed","vertical_velocity","acceleration","jerk","gesture_ID","gesture_type"
"16569",127730,-0.181958033459763,-0.222021834120099,-0.326865680552146,0.01877318,0.253699035666383,-2.1230540371394e-05,0.0226826737303988,-0.0111241322711192,NA,NA
"16571",127740,-0.181995470980686,-0.222042044023191,-0.329476830841117,0.0234074,0.254291974425873,-1.942104590537e-05,0.00714341447821588,-0.0121771181613747,NA,NA
"16572",127750,-0.182038867955697,-0.222060839169402,-0.33193837138871,0.02799285,0.246180103205054,-1.65462220571825e-05,-0.00321601808131037,-0.0101219569825324,NA,NA
"16573",127760,-0.182080982321251,-0.222077620676326,-0.334306299424615,0.03223225,0.236081994635437,-1.07270485189275e-05,-0.00906438412128167,-0.00749921049625123,NA,NA
"16575",127770,-0.182113933517286,-0.222089508735423,-0.336595073032179,0.03584614,0.224424169413369,2.57432076268476e-06,-0.0136124047345175,-0.00606610183561213,NA,NA
"16576",127780,-0.182134603563901,-0.222087430875787,-0.338775276896984,0.03862181,0.207514248831563,3.29794015411114e-05,-0.0196071893134163,-0.00579898267697821,NA,NA
"16577",127790,-0.182144667490468,-0.222043564612965,-0.340749151506492,0.04041877,0.17926200148214,9.69711082486012e-05,-0.0272496271704189,-0.00518678913780634,NA,NA
"16579",127800,-0.182139731583766,-0.221871810364912,-0.342163113697773,0.04117784,0.137581157512473,0.000205256954818263,-0.0327542345122059,-0.00245767771710621,NA,NA
"16580",127810,-0.18211518483374,-0.221506558954592,-0.34273458767057,0.04092149,0.0959515109662788,0.000337527895262365,-0.0304650512434343,0.00256180006769937,NA,NA
"16581",127820,-0.182080553033662,-0.221010534472302,-0.34271200558524,0.03974349,0.0739096002981756,0.000452907996811188,-0.0193668735048305,0.00760766900226604,NA,NA
"16582",127830,-0.182052038170775,-0.220462904781069,-0.34236691698386,0.03780258,0.0741097040120696,0.000535573051580023,-0.00544740489451966,0.00985733220386096,NA,NA
"16584",127840,-0.182038343177489,-0.219878188220231,-0.341728459053841,0.03531096,0.0850029143828503,0.000606418292012153,0.00460048371032288,0.00875629033050163,NA,NA
"16585",127850,-0.182028760656468,-0.219238215238957,-0.340939129032167,0.03250244,0.0960456883314172,0.000701331283073294,0.00951927545783468,0.00628459784190919,NA,NA
"16586",127860,-0.181986193995889,-0.21846277767089,-0.340349683126636,0.02952806,0.105986231656269,0.00085418056826519,0.0127401459447998,0.004525444900917,NA,NA
"16588",127870,-0.181858602197919,-0.217409371054667,-0.340390906201079,0.02647534,0.123339180544294,0.00106750573557256,0.0169020840570058,0.00367072866512179,NA,NA
"16589",127880,-0.181632122212314,-0.21604097351379,-0.341156971011778,0.02343624,0.149468258113658,0.00128762462234683,0.0199534470856412,0.00284645064485993,NA,NA
"16590",127890,-0.181350983197186,-0.214497959469985,-0.342232227606879,0.02048639,0.170204496071337,0.00144367355686895,0.019311211014936,0.00264050131167173,NA,NA
"16592",127900,-0.181061466619074,-0.212923467108237,-0.34302410420345,0.01771103,0.178121880722831,0.00151057872347758,0.0192741652514555,0.00553155606508794,NA,NA
"16593",127910,-0.180783415779617,-0.211377032963617,-0.343138879560747,0.01524784,0.188696614208194,0.00150871494853858,0.0297394338879584,0.0127627151853305,NA,NA
"16594",127920,-0.180523380326667,-0.209878647998575,-0.342425768538022,0.01327065,0.231928170064862,0.00146095595435693,0.0565658336304029,0.0211618814496105,NA,NA
"16595",127930,-0.180298490579493,-0.208476247050877,-0.340169110124566,0.0119279,0.333926629158952,0.00137750729837587,0.0929394135316096,0.0240052934483613,NA,NA
"16597",127940,-0.180123771942654,-0.207227835371861,-0.335414108852882,0.01131187,0.485902935026886,0.00127948231763455,0.119688636588895,0.016223421823975,NA,NA
"16598",127950,-0.179956118994204,-0.206096011360478,-0.328516410742176,0.01146348,0.635748292432748,0.00121192221344244,0.119423061487911,-0.000224000339989113,NA,NA
"16599",127960,-0.179659535879204,-0.204957785496666,-0.32067800849955,0.01237371,0.736523905844766,0.00121358173182072,0.0929462023609973,-0.016894862489781,NA,NA
"16601",127970,-0.179039278137249,-0.203689479152086,-0.312672227579694,0.01398019,0.784258611731331,0.00127756762332124,0.0568802776806971,-0.025954579517826,NA,NA
"16602",127980,-0.178037772070933,-0.202267237155769,-0.304748996986335,0.01617325,0.799509469249035,0.0013461785793459,0.0264336121596134,-0.026164902481033,NA,NA
"16603",127990,-0.17680165115132,-0.200804137143919,-0.29691324285707,0.01881621,0.799357920628669,0.00134775350532433,0.00568229293163629,-0.0217988940079894,NA,NA
"16605",128000,-0.175444056217879,-0.199497086547744,-0.289148270812549,0.02174629,0.790057711624399,0.00125658879821115,-0.00907934227623806,-0.0176028238371193,NA,NA
"16606",128010,-0.173986397579279,-0.198453849887106,-0.281500129635593,0.02479035,0.770227243677322,0.00113243392611136,-0.0230467304457252,-0.01557002984697,NA,NA
"16607",128020,-0.172467034495149,-0.197536181308852,-0.27410566342419,0.02775971,0.732983589350615,0.00108491140681609,-0.0391117547257556,-0.0147710650918209,NA,NA
"16608",128030,-0.170916428683957,-0.196473938832292,-0.267420985584538,0.03043304,0.671580816334828,0.0011772387157277,-0.0554315160484259,-0.0128034030432624,NA,NA
"16610",128040,-0.169339553514849,-0.195078571731777,-0.261954625495638,0.03257844,0.593103232544628,0.001364744657162,-0.0658600913380572,-0.00805875839674123,NA,NA
"16611",128050,-0.167750368872291,-0.193405215287176,-0.257566090223418,0.03400021,0.518348731106583,0.00152863269098942,-0.0658841289536604,-0.00157281131495692,NA,NA
"16612",128060,-0.166182234934783,-0.191687838169105,-0.253740376424875,0.03455933,0.460507498702035,0.00157157202353038,-0.0580917030632574,0.00364833106738826,NA,NA
