"","begintime","endtime","coding","person","id"
"518",705101,705320,"Use Case Scenario","3",518
"519",705320,707137,"G-Enactment","3",519
"520",707848,713570,"G-Level 2 - middle","3",520
"521",714677,715878,"Builds","3",521
"522",715878,717580,"Core Functionality","2",522
"523",719469,720286,"Function","2",523
"524",722452,725521,"Stimulus 3 touching","2",524
"525",725521,726022,"Pointing Stim 3","2",525
"526",727290,727924,"Function","2",526
"527",731394,733830,"Function","1",527
"528",736199,737967,"Function","2",528
"529",739975,741938,"Function","1",529
"530",746576,747461,"Function","1",530
"531",748044,748812,"Function","3",531
"532",750746,751848,"Usability","1",532
"533",754250,765240,"sketching","3",533
"534",765628,766779,"Function","2",534
"535",768871,775839,"Use Case Scenario","1",535
"536",775839,778517,"Feature","2",536
"537",781058,788293,"G-Level 2 - middle","2",537
"538",788957,791926,"Builds","1",538
"539",791926,793222,"Use Case Scenario","1",539
"540",795158,796326,"Function","1",540
"541",800963,817588,"Use Case Scenario","2",541
"542",817588,821639,"G-Enactment","3",542
"543",830921,832495,"G-Enactment","2",543
"544",834974,837496,"writing","2",544
"545",837932,840508,"G-Level 3 - high","3",545
"546",840698,841881,"G-Enactment","1",546
"547",845174,846627,"Function","1",547
"548",846676,848511,"Function","1",548
"549",852215,853681,"G-Level 3 - high","3",549
"550",854176,856205,"G-Level 3 - high","3",550
"551",856552,857833,"Use Case Scenario","1",551
"552",857833,860011,"G-Enactment","3",552
"553",864804,866731,"G-Enactment","2",553
"554",872242,874171,"Stimulus 3 touching","2",554
"555",874171,878994,"writing","2",555
"556",879142,881904,"Function","2",556
"557",881904,887611,"Stimulus 3 touching","3",557
"558",887611,888345,"Function","2",558
"559",890061,893229,"Function","2",559
"560",899395,900830,"Function","2",560
"561",910222,914031,"Builds","1",561
"562",924344,924613,"Use Case Scenario","1",562
"563",924613,928890,"G-Level 2 - middle","2",563
"564",939306,944808,"G-Level 3 - high","2",564
"565",944808,946409,"Core Functionality","2",565
"566",951581,953183,"Core Functionality","1",566
"567",959818,961790,"G-Enactment","3",567
"568",961790,962892,"Builds","3",568
"569",962892,968569,"writing","2",569
"570",970733,977082,"G-Enactment","3",570
"571",979572,984187,"sketching","2",571
"572",987460,990299,"G-Level 2 - middle","3",572
"573",994190,997455,"writing","3",573
"574",998661,1001865,"Enactment Stim 4 (tabel)","2",574
"575",1001865,1004300,"Function","2",575
"576",1019563,1020939,"Function","3",576
"577",1022585,1023353,"Function","2",577
"578",1024854,1025233,"Function","3",578
"579",1025233,1028291,"G-Enactment","3",579
"580",1028291,1031360,"Builds","3",580
"581",1031360,1043486,"Use Case Scenario","1",581
"582",1043486,1046876,"G-Enactment","1",582
"583",1046876,1049612,"Function","1",583
"584",1051581,1063229,"System","2",584
"585",1063292,1064520,"Function","2",585
"586",1066830,1067464,"Function","2",586
"587",1070727,1071768,"Core Functionality","2",587
"588",1074270,1074871,"Use Case Scenario","1",588
"589",1074871,1075939,"Function","1",589
"590",1079642,1080284,"Function","3",590
"591",1081544,1082294,"Function","2",591
"592",1092474,1109305,"Stimulus 3 touching","2",592
"593",1109305,1110173,"Core Functionality","1",593
"594",1138034,1140603,"Pointing Stim 3","1",594
"595",1143372,1145641,"Stimulus 1 touching","2",595
"596",1154126,1157489,"G-Level 1 - low","1",596
"597",1167730,1169065,"Core Functionality","2",597
"598",1180176,1183513,"Core Functionality","2",598
"599",1195149,1196632,"G-Level 2 - middle","2",599
"600",1198952,1200307,"G-Level 2 - middle","2",600
"601",1204133,1206366,"G-Enactment","2",601
"602",1208588,1213263,"G-Enactment","1",602
"603",1217635,1222012,"G-Level 3 - high","2",603
"604",1231627,1247824,"Stimulus 3 touching","2",604
"605",1247824,1248339,"sketching","2",605
"606",1253315,1254198,"G-Enactment","2",606
"607",1256452,1261191,"Stimulus 2 touching","1",607
"608",1262025,1267744,"G-Level 3 - high","1",608
"609",1276052,1280743,"G-Level 3 - high","2",609
"610",1280743,1281444,"Function","3",610
"611",1284807,1290210,"G-Enactment","2",611
"612",1293589,1306135,"Stimulus 2 touching","1",612
"613",1306135,1313984,"Stimulus 3 touching","2",613
"614",1313984,1315816,"G-Pointing","2",614
"615",1321584,1325521,"Pointing Stim 1","2",615
"616",1332256,1333821,"G-Enactment","2",616
"617",23166,29258,"Pointing Stim 1","1",617
